scenario,profit_eur
637,1183049.6271047571
638,1208625.5271383505
639,1184112.2832425362
640,517845.059027627
641,508799.51926233433
642,510106.4911702656
643,502360.1692110968
644,998598.404381797
645,989924.1583807757
646,1013951.0721890054
647,975929.0258707113
648,1028905.5126406942
649,1020428.2172438528
650,1027307.1587385385
651,1003701.2370559936
652,1438099.1820839182
653,1430177.5287729637
654,1433934.902157747
655,1402376.1852889939
656,1155603.7156896917
657,1144858.0102953855
658,1159186.0210033415
659,1131876.8133808612
660,1210104.2569382275
661,1200028.7362409392
662,1209526.701887302
663,1181737.0286688257
664,1152274.4683394907
665,1138009.1945242255
666,1148647.635967943
667,1127673.166964136
668,1028210.8759617376
669,1020310.0436695705
670,1019577.7287791058
671,1008137.0065048814
672,1329120.7985641984
673,1311568.6376361416
674,1323148.641936755
675,1291862.4428434982
676,1347783.6832500538
677,1339707.588257312
678,1360360.6548406188
679,1320139.4377730514
680,755058.0056988064
681,738786.8127900093
682,744748.4901880312
683,733107.9463480569
684,481187.50330676057
685,487250.8452251147
686,481648.7621852745
687,475735.6029073051
688,498492.18249576027
689,469356.42659236526
690,467569.3326197405
691,463514.3576117696
692,1164699.8079293305
693,1146605.3898329525
694,1170258.2454435811
695,1140152.4946748037
696,931869.4497439049
697,933044.4529355599
698,937225.3730500704
699,918138.4762656782
700,723015.2486034782
701,698492.9260529636
702,700565.1530288889
703,688267.7848121515
704,1173416.537859287
705,1166106.0857387497
706,1183585.796848982
707,1149182.7731394581
708,885250.5428720663
709,868551.862594798
710,860506.4201295874
711,856165.128348324
712,1125977.6898143962
713,1107111.2058224415
714,1105932.0418555555
715,1095113.5831699185
716,1395811.9572359412
717,1379891.5082718176
718,1390894.025171045
719,1367079.5280472129
720,547730.3811702819
721,538719.3526257661
722,535472.3003656112
723,526863.6730628147
724,1034736.3985893067
725,1027016.2987355965
726,1046199.458489445
727,1003856.6192415773
728,1060188.7805689252
729,1052408.90837168
730,1052394.400490331
731,1025565.7005484179
732,1472718.581199478
733,1465135.8705909406
734,1458557.7454576618
735,1423781.1462703152
736,1177352.6263749746
737,1168659.7615694827
738,1176024.3483677562
739,1144564.2604384553
740,1242968.8679507086
741,1234755.152972887
742,1236220.73186053
743,1204389.93833666
744,1174577.6329307505
745,1162637.4151572674
746,1165079.3335891766
747,1141530.3923583706
748,1040900.3358027434
749,1035730.3928519767
750,1026636.4264404039
751,1013377.6910548245
752,1371599.301419152
753,1354296.417938347
754,1356460.3349365073
755,1321718.0164204477
756,1375245.1067027762
757,1368940.479040038
758,1382057.7467282831
759,1337427.3525495888
760,796205.260337733
761,779918.1649605182
762,779264.2761112279
763,766775.7000963286
764,462343.1763786391
765,469205.3387938974
766,460232.0469983596
767,454167.8885836142
768,586039.6246925199
769,552986.8126985496
770,543789.938278099
771,540750.8682434146
772,1201914.9506835695
773,1185750.2654118068
774,1202289.2588737418
775,1168765.550822022
776,924358.3965337941
777,928422.6818050791
778,926530.2312226217
779,905731.0482065211
780,791459.7300543669
781,763406.8101364437
782,757515.3983161745
783,745210.4432756669
784,1192973.1224072047
785,1188098.1241101855
786,1198629.4847927156
787,1159736.067972363
788,915294.4810610574
789,898004.4137977413
790,880780.829329387
791,876366.875492176
792,1160735.3281787229
793,1141698.9072615125
794,1131019.151650522
795,1119246.6213582042
796,1420637.782758011
797,1406973.6525502284
