h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
37.58125,19.688125,14.736874999999998,11.9594997875,24.153125312500002,36.890625312500006,79.953123125,116.63437375,73.90324957499999,91.3687503125,36.0973747875,15.0152497875,16.7875,14.192874999999997,52.19999875,80.55624875,132.7656221875,172.893748125,206.12499687499997,150.8898764875,131.15499915,106.377502975,102.29325106249999,84.800249575
37.58125,19.688125,14.736874999999998,11.9594997875,16.4241252125,36.890625312500006,79.953123125,116.63437375,108.681249375,62.1307502125,53.0843746875,15.0152497875,11.4155,14.192874999999997,52.19999875,54.77824914999999,90.2806230875,172.893748125,140.16499787499998,221.89687718750002,131.15499915,106.377502975,102.29325106249999,124.706249375
142.0781253125,89.7451239375,133.0281259375,133.04062375,92.07199957499999,146.4375021875,182.4593734375,212.24687125,129.77587818749998,105.3447493625,89.70899745,121.387500625,111.28749812500001,112.84374937500002,75.1166243625,84.13087415,147.2656271875,136.2953716,233.03124906249997,195.4781221875,173.13437468750004,99.5541260625,137.2812509375,125.55312624999999
142.0781253125,89.7451239375,90.4591256375,90.46762415,92.07199957499999,146.4375021875,182.4593734375,212.24687125,129.77587818749998,105.3447493625,89.70899745,82.54350042499999,75.675498725,76.733749575,75.1166243625,123.72187374999999,100.1406264875,200.43437,233.03124906249997,132.9251230875,173.13437468750004,146.4031265625,93.3512506375,85.37612585
142.0781253125,89.7451239375,90.4591256375,90.46762415,135.399999375,146.4375021875,182.4593734375,212.24687125,129.77587818749998,154.9187490625,89.70899745,82.54350042499999,111.28749812500001,76.733749575,110.46562406250001,123.72187374999999,147.2656271875,200.43437,233.03124906249997,132.9251230875,117.73137478750002,99.5541260625,93.3512506375,85.37612585
142.0781253125,89.7451239375,90.4591256375,90.46762415,92.07199957499999,146.4375021875,182.4593734375,212.24687125,190.8468796875,105.3447493625,131.92499625,82.54350042499999,75.675498725,76.733749575,110.46562406250001,84.13087415,100.1406264875,200.43437,158.46124936249998,195.4781221875,117.73137478750002,99.5541260625,93.3512506375,125.55312624999999
112.231249375,73.70137563749999,107.08437437499998,108.56874937499998,75.4970014875,125.053126875,163.428120625,166.99062125,84.9404985125,53.5096256375,9.768624575,3.4562500000000003,3.10625,4.253125,3.0132499999999998,40.11574914999999,133.79375218750002,123.430624575,222.03125,212.75000093750003,185.61562531250001,112.244624575,154.69687468749999,141.69062593750002
112.231249375,73.70137563749999,72.81737457499999,73.826749575,75.4970014875,125.053126875,163.428120625,166.99062125,84.9404985125,53.5096256375,9.768624575,2.35025,2.1122500000000004,2.8921249999999996,3.0132499999999998,58.993748749999995,90.9797514875,181.51562437500002,222.03125,144.6700006375,185.61562531250001,165.06562437500003,105.1938747875,96.3496256375
112.231249375,73.70137563749999,72.81737457499999,73.826749575,111.02500218750001,125.053126875,163.428120625,166.99062125,84.9404985125,78.6906259375,9.768624575,2.35025,3.10625,2.8921249999999996,4.43125,58.993748749999995,133.79375218750002,181.51562437500002,222.03125,144.6700006375,126.2186252125,112.244624575,105.1938747875,96.3496256375
112.231249375,73.70137563749999,72.81737457499999,73.826749575,75.4970014875,125.053126875,163.428120625,166.99062125,124.91249781249999,53.5096256375,14.365624375000001,2.35025,2.1122500000000004,2.8921249999999996,4.43125,40.11574914999999,90.9797514875,181.51562437500002,150.98125,212.75000093750003,126.2186252125,112.244624575,105.1938747875,141.69062593750002
