combined_scenario,wind_scenario,price_scenario,imbalance_scenario,hour,wind_mw,day_ahead_price_eur_per_mwh,system_imbalance,balancing_price_eur_per_mwh,probability
52,0,13,0,6,341.7778578450245,111.4574985,1,139.321873125,0.000625
52,0,13,0,7,345.3407240377235,116.64749875000001,1,145.80937343750003,0.000625
52,0,13,0,8,353.09770497333596,121.8149985,0,103.542748725,0.000625
52,0,13,0,9,327.970430008938,116.08250025,0,98.6701252125,0.000625
52,0,13,0,10,342.005770113675,107.46749875,0,91.3473739375,0.000625
52,0,13,0,11,350.9542545815975,103.47750099999999,1,129.34687624999998,0.000625
52,0,13,0,12,353.711719469256,104.14499875,1,130.1812484375,0.000625
52,0,13,0,13,352.566802429096,103.3799995,1,129.22499937499998,0.000625
52,0,13,0,14,372.39821781301305,105.6275005,0,89.78337542499999,0.000625
52,0,13,0,15,381.5275429033165,114.17,0,97.0445,0.000625
52,0,13,0,16,363.77451186320195,129.9524995,1,162.44062437499997,0.000625
52,0,13,0,17,347.9316625169085,138.597498,0,117.8078733,0.000625
52,0,13,0,18,362.3763977327535,161.03750225,1,201.2968778125,0.000625
52,0,13,0,19,385.8736343914805,169.76750149999998,1,212.20937687499998,0.000625
52,0,13,0,20,412.178315643747,150.205002,1,187.75625250000002,0.000625
52,0,13,0,21,391.442716364354,137.392498,0,116.78362329999999,0.000625
52,0,13,0,22,407.54045922878953,135.18000025,1,168.97500031250001,0.000625
52,0,13,0,23,375.988472998675,127.9900015,1,159.98750187500002,0.000625
53,0,13,1,0,281.686628322303,112.8850005,1,141.106250625,0.000625
53,0,13,1,1,278.2135076643475,109.01249875,0,92.6606239375,0.000625
53,0,13,1,2,310.032085751555,103.94000075,0,88.3490006375,0.000625
53,0,13,1,3,282.952420155072,101.81500225,0,86.54275191250001,0.000625
53,0,13,1,4,331.4812886652175,105.062502,0,89.30312669999999,0.000625
53,0,13,1,5,336.023878535563,109.01000024999999,1,136.26250031249998,0.000625
53,0,13,1,6,341.7778578450245,111.4574985,1,139.321873125,0.000625
53,0,13,1,7,345.3407240377235,116.64749875000001,1,145.80937343750003,0.000625
53,0,13,1,8,353.09770497333596,121.8149985,0,103.542748725,0.000625
53,0,13,1,9,327.970430008938,116.08250025,0,98.6701252125,0.000625
53,0,13,1,10,342.005770113675,107.46749875,0,91.3473739375,0.000625
53,0,13,1,11,350.9542545815975,103.47750099999999,0,87.95587584999998,0.000625
53,0,13,1,12,353.711719469256,104.14499875,0,88.5232489375,0.000625
53,0,13,1,13,352.566802429096,103.3799995,0,87.872999575,0.000625
53,0,13,1,14,372.39821781301305,105.6275005,0,89.78337542499999,0.000625
53,0,13,1,15,381.5275429033165,114.17,1,142.7125,0.000625
53,0,13,1,16,363.77451186320195,129.9524995,0,110.45962457499999,0.000625
53,0,13,1,17,347.9316625169085,138.597498,1,173.2468725,0.000625
53,0,13,1,18,362.3763977327535,161.03750225,1,201.2968778125,0.000625
53,0,13,1,19,385.8736343914805,169.76750149999998,0,144.30237627499997,0.000625
53,0,13,1,20,412.178315643747,150.205002,1,187.75625250000002,0.000625
53,0,13,1,21,391.442716364354,137.392498,1,171.74062249999997,0.000625
53,0,13,1,22,407.54045922878953,135.18000025,0,114.9030002125,0.000625
53,0,13,1,23,375.988472998675,127.9900015,0,108.791501275,0.000625
54,0,13,2,0,281.686628322303,112.8850005,1,141.106250625,0.000625
54,0,13,2,1,278.2135076643475,109.01249875,0,92.6606239375,0.000625
54,0,13,2,2,310.032085751555,103.94000075,0,88.3490006375,0.000625
54,0,13,2,3,282.952420155072,101.81500225,0,86.54275191250001,0.000625
54,0,13,2,4,331.4812886652175,105.062502,1,131.3281275,0.000625
54,0,13,2,5,336.023878535563,109.01000024999999,1,136.26250031249998,0.000625
54,0,13,2,6,341.7778578450245,111.4574985,1,139.321873125,0.000625
54,0,13,2,7,345.3407240377235,116.64749875000001,1,145.80937343750003,0.000625
54,0,13,2,8,353.09770497333596,121.8149985,0,103.542748725,0.000625
54,0,13,2,9,327.970430008938,116.08250025,1,145.1031253125,0.000625
54,0,13,2,10,342.005770113675,107.46749875,0,91.3473739375,0.000625
54,0,13,2,11,350.9542545815975,103.47750099999999,0,87.95587584999998,0.000625
54,0,13,2,12,353.711719469256,104.14499875,1,130.1812484375,0.000625
54,0,13,2,13,352.566802429096,103.3799995,0,87.872999575,0.000625
54,0,13,2,14,372.39821781301305,105.6275005,1,132.034375625,0.000625
54,0,13,2,15,381.5275429033165,114.17,1,142.7125,0.000625
54,0,13,2,16,363.77451186320195,129.9524995,1,162.44062437499997,0.000625
54,0,13,2,17,347.9316625169085,138.597498,1,173.2468725,0.000625
54,0,13,2,18,362.3763977327535,161.03750225,1,201.2968778125,0.000625
54,0,13,2,19,385.8736343914805,169.76750149999998,0,144.30237627499997,0.000625
54,0,13,2,20,412.178315643747,150.205002,0,127.6742517,0.000625
54,0,13,2,21,391.442716364354,137.392498,0,116.78362329999999,0.000625
54,0,13,2,22,407.54045922878953,135.18000025,0,114.9030002125,0.000625
54,0,13,2,23,375.988472998675,127.9900015,0,108.791501275,0.000625
55,0,13,3,0,281.686628322303,112.8850005,1,141.106250625,0.000625
55,0,13,3,1,278.2135076643475,109.01249875,0,92.6606239375,0.000625
55,0,13,3,2,310.032085751555,103.94000075,0,88.3490006375,0.000625
55,0,13,3,3,282.952420155072,101.81500225,0,86.54275191250001,0.000625
55,0,13,3,4,331.4812886652175,105.062502,0,89.30312669999999,0.000625
55,0,13,3,5,336.023878535563,109.01000024999999,1,136.26250031249998,0.000625
55,0,13,3,6,341.7778578450245,111.4574985,1,139.321873125,0.000625
55,0,13,3,7,345.3407240377235,116.64749875000001,1,145.80937343750003,0.000625
55,0,13,3,8,353.09770497333596,121.8149985,1,152.268748125,0.000625
55,0,13,3,9,327.970430008938,116.08250025,0,98.6701252125,0.000625
55,0,13,3,10,342.005770113675,107.46749875,1,134.3343734375,0.000625
55,0,13,3,11,350.9542545815975,103.47750099999999,0,87.95587584999998,0.000625
55,0,13,3,12,353.711719469256,104.14499875,0,88.5232489375,0.000625
55,0,13,3,13,352.566802429096,103.3799995,0,87.872999575,0.000625
55,0,13,3,14,372.39821781301305,105.6275005,1,132.034375625,0.000625
55,0,13,3,15,381.5275429033165,114.17,0,97.0445,0.000625
55,0,13,3,16,363.77451186320195,129.9524995,0,110.45962457499999,0.000625
55,0,13,3,17,347.9316625169085,138.597498,1,173.2468725,0.000625
55,0,13,3,18,362.3763977327535,161.03750225,0,136.8818769125,0.000625
55,0,13,3,19,385.8736343914805,169.76750149999998,1,212.20937687499998,0.000625
55,0,13,3,20,412.178315643747,150.205002,0,127.6742517,0.000625
55,0,13,3,21,391.442716364354,137.392498,0,116.78362329999999,0.000625
55,0,13,3,22,407.54045922878953,135.18000025,0,114.9030002125,0.000625
55,0,13,3,23,375.988472998675,127.9900015,1,159.98750187500002,0.000625
56,0,14,0,0,281.686628322303,137.28500175,1,171.6062521875,0.000625
56,0,14,0,1,278.2135076643475,133.675003,0,113.62375255,0.000625
56,0,14,0,2,310.032085751555,124.91000175,1,156.13750218750002,0.000625
56,0,14,0,3,282.952420155072,123.47999974999999,1,154.34999968749997,0.000625
56,0,14,0,4,331.4812886652175,122.130001,0,103.81050085,0.000625
56,0,14,0,5,336.023878535563,124.07499875,1,155.0937484375,0.000625
56,0,14,0,6,341.7778578450245,124.3475,1,155.434375,0.000625
56,0,14,0,7,345.3407240377235,117.77000025,1,147.2125003125,0.000625
56,0,14,0,8,353.09770497333596,109.05749875,0,92.6988739375,0.000625
56,0,14,0,9,327.970430008938,94.7424985,0,80.531123725,0.000625
56,0,14,0,10,342.005770113675,87.28500175,0,74.1922514875,0.000625
56,0,14,0,11,350.9542545815975,72.19749924999999,1,90.24687406249998,0.000625
56,0,14,0,12,353.711719469256,52.96000025,1,66.2000003125,0.000625
56,0,14,0,13,352.566802429096,36.45499975,1,45.5687496875,0.000625
56,0,14,0,14,372.39821781301305,37.3474995,0,31.745374574999996,0.000625
56,0,14,0,15,381.5275429033165,62.9174995,0,53.479874575,0.000625
56,0,14,0,16,363.77451186320195,85.4874985,1,106.859373125,0.000625
56,0,14,0,17,347.9316625169085,116.710001,0,99.20350085,0.000625
56,0,14,0,18,362.3763977327535,127.955002,1,159.9437525,0.000625
56,0,14,0,19,385.8736343914805,124.71500025,1,155.8937503125,0.000625
56,0,14,0,20,412.178315643747,99.51250075,1,124.3906259375,0.000625
56,0,14,0,21,391.442716364354,84.7250005,0,72.016250425,0.000625
56,0,14,0,22,407.54045922878953,76.06250175,1,95.0781271875,0.000625
56,0,14,0,23,375.988472998675,58.63249975,1,73.2906246875,0.000625
57,0,14,1,0,281.686628322303,137.28500175,1,171.6062521875,0.000625
57,0,14,1,1,278.2135076643475,133.675003,0,113.62375255,0.000625
57,0,14,1,2,310.032085751555,124.91000175,0,106.1735014875,0.000625
57,0,14,1,3,282.952420155072,123.47999974999999,0,104.95799978749999,0.000625
57,0,14,1,4,331.4812886652175,122.130001,0,103.81050085,0.000625
57,0,14,1,5,336.023878535563,124.07499875,1,155.0937484375,0.000625
57,0,14,1,6,341.7778578450245,124.3475,1,155.434375,0.000625
57,0,14,1,7,345.3407240377235,117.77000025,1,147.2125003125,0.000625
57,0,14,1,8,353.09770497333596,109.05749875,0,92.6988739375,0.000625
57,0,14,1,9,327.970430008938,94.7424985,0,80.531123725,0.000625
57,0,14,1,10,342.005770113675,87.28500175,0,74.1922514875,0.000625
57,0,14,1,11,350.9542545815975,72.19749924999999,0,61.36787436249999,0.000625
57,0,14,1,12,353.711719469256,52.96000025,0,45.016000212499996,0.000625
57,0,14,1,13,352.566802429096,36.45499975,0,30.9867497875,0.000625
57,0,14,1,14,372.39821781301305,37.3474995,0,31.745374574999996,0.000625
57,0,14,1,15,381.5275429033165,62.9174995,1,78.646874375,0.000625
57,0,14,1,16,363.77451186320195,85.4874985,0,72.664373725,0.000625
57,0,14,1,17,347.9316625169085,116.710001,1,145.88750125,0.000625
57,0,14,1,18,362.3763977327535,127.955002,1,159.9437525,0.000625
57,0,14,1,19,385.8736343914805,124.71500025,0,106.0077502125,0.000625
57,0,14,1,20,412.178315643747,99.51250075,1,124.3906259375,0.000625
57,0,14,1,21,391.442716364354,84.7250005,1,105.90625062499998,0.000625
57,0,14,1,22,407.54045922878953,76.06250175,0,64.65312648749999,0.000625
57,0,14,1,23,375.988472998675,58.63249975,0,49.8376247875,0.000625
58,0,14,2,0,281.686628322303,137.28500175,1,171.6062521875,0.000625
58,0,14,2,1,278.2135076643475,133.675003,0,113.62375255,0.000625
58,0,14,2,2,310.032085751555,124.91000175,0,106.1735014875,0.000625
58,0,14,2,3,282.952420155072,123.47999974999999,0,104.95799978749999,0.000625
58,0,14,2,4,331.4812886652175,122.130001,1,152.66250125,0.000625
58,0,14,2,5,336.023878535563,124.07499875,1,155.0937484375,0.000625
58,0,14,2,6,341.7778578450245,124.3475,1,155.434375,0.000625
58,0,14,2,7,345.3407240377235,117.77000025,1,147.2125003125,0.000625
58,0,14,2,8,353.09770497333596,109.05749875,0,92.6988739375,0.000625
58,0,14,2,9,327.970430008938,94.7424985,1,118.428123125,0.000625
58,0,14,2,10,342.005770113675,87.28500175,0,74.1922514875,0.000625
58,0,14,2,11,350.9542545815975,72.19749924999999,0,61.36787436249999,0.000625
58,0,14,2,12,353.711719469256,52.96000025,1,66.2000003125,0.000625
58,0,14,2,13,352.566802429096,36.45499975,0,30.9867497875,0.000625
58,0,14,2,14,372.39821781301305,37.3474995,1,46.684374375,0.000625
58,0,14,2,15,381.5275429033165,62.9174995,1,78.646874375,0.000625
58,0,14,2,16,363.77451186320195,85.4874985,1,106.859373125,0.000625
58,0,14,2,17,347.9316625169085,116.710001,1,145.88750125,0.000625
58,0,14,2,18,362.3763977327535,127.955002,1,159.9437525,0.000625
58,0,14,2,19,385.8736343914805,124.71500025,0,106.0077502125,0.000625
58,0,14,2,20,412.178315643747,99.51250075,0,84.5856256375,0.000625
58,0,14,2,21,391.442716364354,84.7250005,0,72.016250425,0.000625
58,0,14,2,22,407.54045922878953,76.06250175,0,64.65312648749999,0.000625
58,0,14,2,23,375.988472998675,58.63249975,0,49.8376247875,0.000625
59,0,14,3,0,281.686628322303,137.28500175,1,171.6062521875,0.000625
59,0,14,3,1,278.2135076643475,133.675003,0,113.62375255,0.000625
59,0,14,3,2,310.032085751555,124.91000175,0,106.1735014875,0.000625
59,0,14,3,3,282.952420155072,123.47999974999999,0,104.95799978749999,0.000625
